id,source
illogic,kiwi
Whiskey,FatActuary
MrsFrog,Coffee Coffee
WhiskeyActuary,FatActuary
Hilly Nobleman,Brutus Buckeye
J.T. Jr,J.T.
OldTymer,CindyLou Who
guava,kiwi
_?_,FatActuary
notmyfault,notmyfriends
Mr. Penguin,Linus
Quinn,BBSPaf
Last Train to Skaville,Linus
tornado,CindyLou Who
nectarine,kiwi
But Not The Armadillo,Linus
raspberry,CindyLou Who
Butters Stotch,ADoubleDot
lime,kiwi
starfruit,kiwi
booberry,Linus
kumquat,kiwi
Alma,BBSPaf
can't elope,CindyLou Who
White Castle,Doctor Who
Htebazile,hotdime
MaryMaryTheActuary,CindyLou Who
Aristotle,udjw828
Buru Buru,BBSPaf
Shakespeare,udjw828
dingleberry,Linus
Arkansas Trailer Park,Linus
speed:bump:,CindyLou Who
Cytherea,BBSPaf
oojjee,udjw828
Ezekial Cumberland,udjw828
quinn morgendorffer,BBSPaf
peanut butter,CindyLou Who
Mighty Fine-Looking Gnome,hotdime
coconut,kiwi
ADoubleShot,Linus
popcorn,CindyLou Who
Mrs. Penguin,CindyLou Who
OMGUS,ADoubleDot
CindyLou WTH?,CindyLou Who
tangerine,kiwi
Jable Salt,Jables
Butt Knot the Armadillo,Linus
Jable_Salt,Doctor Who
mango,kiwi
Sally Brown,CindyLou Who
ECD,CindyLou Who
notmyJables,Jables
Sophia Petrillo,BBSPaf
Tim Horton Hears a Who,Linus
Admiral Penguin,Linus
Linus! Lord of the Dance,Linus
ZombieActuary,hotdime
roomtemperaturepenny,Jables
lukewarmquarter,Jables
"Barney Gumble, FSA",Linus
The Dunkin Actuary,Jables
absolutezerocents,Jables
+1.,FatActuary
ao fan,BBSPaf
ADistressedDamsel,ADoubleDot
Jack Brak Got Whacked!,Jables
ADapperDandy,ADoubleDot
ADeliciousDish,ADoubleDot
Ostrich,ADoubleDot
Rose Tyler,ADoubleDot
Martha Jones,ADoubleDot
Amelia Pond,ADoubleDot
ADrunkDriver,ADoubleDot
Mrs Browncoat,Browncoat
campbell,limabeanactuary
GrammarZombie,limabeanactuary
